Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. sinensis 'PMS-438',PMS-438,50% head,41.32883333,123.6902667,"Korea, N China Msi",12.5,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,50% head,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,50% head,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,50% head,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,50% head,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,50% head,,,C Japan Msi,12.5,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,50% head,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,50% head,,,,15,155.3333333
M. floridulus  'NG77-022',PI417947,50% head,-3.55,143.6333333,SE China Msi,15,169.6666667
M. floridulus 'US56-0022-03',PI230189,50% head,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,50% head,,,NE China/Korea/Russia 2x Msa,15,84.66666667
M. sinensis 'EBI-2008-32a',EBI-2008-32a,50% head,43.3931,141.43225,N Japan Msi,15,107
M. sinensis 'EBI-2008-51c',EBI-2008-51c,50% head,43.44818333,142.64555,N Japan Msi,15,147
M. sinensis 'Flamingo',UI10-00041,50% head,,,C Japan Msi,15,144.3333333
M. sinensis 'Gracillimus',UI10-00048,50% head,,,S Japan Msi,15,234.6666667
M. sinensis 'Koike-11a',Koike-11a,50% head,38,138.36,C Japan Msi,15,142.6666667
M. sinensis 'Koike-12b',Koike-12b,50% head,36.7,137.19,C Japan Msi,15,142
M. sinensis 'Koike-21c',Koike-21c,50% head,32.16,130.39,S Japan Msi,15,183.6666667
M. sinensis 'Miyazaki 1.5',UI11-00001.5,50% head,31.83,131.42,S Japan Msi,15,205
M. sinensis 'Nippon',UI10-00074,50% head,,,S Japan Msi,15,75.66666667
M. sinensis 'Onna-1',OKA-2010-001,50% head,26.44585,127.806144,SE China Msi,15,287
