Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Culm length,40.21601,140.22625,N Japan Msi,12.5,16.37777778
M. sinensis 'Uruma-1b',OKA-2010-002,Culm length,26.340312,127.854968,SE China Msi,12.5,72.26666667
M. sinensis var. condensatus 'Cabaret',UI10-00012,Culm length,,,C Japan Msi,12.5,109.3111111
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,Culm length,30.87438333,120.1449,,12.5,47.38888889
M. ×giganteus 'Illinois',UI10-00107,Culm length,,,,15,196
M. floridulus  'NG77-022',PI417947,Culm length,-3.55,143.6333333,SE China Msi,15,187.3888889
M. floridulus 'US56-0022-03',PI230189,Culm length,-20.91,165.33,SE China Msi,15,114.4888889
M. sacchariflorus 'Hortico',UI10-00008,Culm length,,,NE China/Korea/Russia 2x Msa,15,75.56666667
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Culm length,43.3931,141.43225,N Japan Msi,15,200.9222222
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Culm length,43.44818333,142.64555,N Japan Msi,15,158.6
M. sinensis 'Flamingo',UI10-00041,Culm length,,,C Japan Msi,15,81.26666667
M. sinensis 'Gracillimus',UI10-00048,Culm length,,,S Japan Msi,15,69.6
M. sinensis 'Koike-11a',Koike-11a,Culm length,38,138.36,C Japan Msi,15,130.0444444
M. sinensis 'Koike-12b',Koike-12b,Culm length,36.7,137.19,C Japan Msi,15,135.8333333
M. sinensis 'Koike-21c',Koike-21c,Culm length,32.16,130.39,S Japan Msi,15,107.8111111
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Culm length,31.83,131.42,S Japan Msi,15,90.83333333
M. sinensis 'Nippon',UI10-00074,Culm length,,,S Japan Msi,15,81.94444444
M. sinensis 'Onna-1',OKA-2010-001,Culm length,26.44585,127.806144,SE China Msi,15,129.8888889
M. sinensis 'PMS-130',PMS-130,Culm length,33.45548333,105.1373833,Yangtze-Qinling Msi,15,67.11111111
M. sinensis 'PMS-159',PMS-159,Culm length,34.12948333,111.04395,Yangtze-Qinling Msi,15,108.8888889
M. sinensis 'PMS-161',PMS-161,Culm length,35.72196667,112.3247667,Yangtze-Qinling Msi,15,114.4444444
M. sinensis 'PMS-164',PMS-164,Culm length,37.34001667,114.2810333,Yangtze-Qinling Msi,15,176.2888889
M. sinensis 'PMS-204',PMS-204,Culm length,31.70131667,114.8741167,Yangtze-Qinling Msi,15,175.7777778
M. sinensis 'PMS-226',PMS-226,Culm length,26.62055,106.75145,Sichuan Msi,15,173.7777778
M. sinensis 'PMS-306',PMS-306,Culm length,29.89176667,119.8417167,Yangtze-Qinling Msi,15,157.4444444
M. sinensis 'PMS-314',PMS-314,Culm length,26.52793333,119.6324333,Yangtze-Qinling Msi,15,164.5555556
M. sinensis 'PMS-347',PMS-347,Culm length,24.16798333,115.8838667,SE China Msi,15,194.1111111
M. sinensis 'PMS-359',PMS-359,Culm length,22.91336667,112.3369667,SE China Msi,15,231.3333333
M. sinensis 'PMS-375',PMS-375,Culm length,19.63043333,110.2908833,SE China Msi,15,208.3333333
M. sinensis 'PMS-382',PMS-382,Culm length,18.90558333,109.5137833,SE China Msi,15,170.7777778
M. sinensis 'PMS-436',PMS-436,Culm length,41.31701667,123.7384,"Korea, N China Msi",15,123.2222222
M. sinensis 'PMS-438',PMS-438,Culm length,41.32883333,123.6902667,"Korea, N China Msi",15,93.66666667
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Culm length,36,138.12,C Japan Msi,15,93.98888889
M. sinensis 'Teshio 3.3',UI11-00003.3,Culm length,44.91666667,141.9833333,N Japan Msi,15,181.2777778
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Culm length,40.21601,140.22625,N Japan Msi,15,122.6233333
M. sinensis 'Uruma-1b',OKA-2010-002,Culm length,26.340312,127.854968,SE China Msi,15,99.12222222
M. sinensis var. condensatus 'Cabaret',UI10-00012,Culm length,,,C Japan Msi,15,94.04444444
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,Culm length,30.87438333,120.1449,,15,146.4444444
M. ×giganteus 'Illinois',UI10-00107,First boot,,,,10,81
M. floridulus  'NG77-022',PI417947,First boot,-3.55,143.6333333,SE China Msi,10,
M. floridulus 'US56-0022-03',PI230189,First boot,-20.91,165.33,SE China Msi,10,
M. sacchariflorus 'Hortico',UI10-00008,First boot,,,NE China/Korea/Russia 2x Msa,10,39
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First boot,43.3931,141.43225,N Japan Msi,10,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First boot,43.44818333,142.64555,N Japan Msi,10,
M. sinensis 'Flamingo',UI10-00041,First boot,,,C Japan Msi,10,
M. sinensis 'Gracillimus',UI10-00048,First boot,,,S Japan Msi,10,
M. sinensis 'Koike-11a',Koike-11a,First boot,38,138.36,C Japan Msi,10,
M. sinensis 'Koike-12b',Koike-12b,First boot,36.7,137.19,C Japan Msi,10,
M. sinensis 'Koike-21c',Koike-21c,First boot,32.16,130.39,S Japan Msi,10,39
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First boot,31.83,131.42,S Japan Msi,10,39
M. sinensis 'Nippon',UI10-00074,First boot,,,S Japan Msi,10,36
M. sinensis 'Onna-1',OKA-2010-001,First boot,26.44585,127.806144,SE China Msi,10,
M. sinensis 'PMS-130',PMS-130,First boot,33.45548333,105.1373833,Yangtze-Qinling Msi,10,35
M. sinensis 'PMS-159',PMS-159,First boot,34.12948333,111.04395,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-161',PMS-161,First boot,35.72196667,112.3247667,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-164',PMS-164,First boot,37.34001667,114.2810333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-204',PMS-204,First boot,31.70131667,114.8741167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-226',PMS-226,First boot,26.62055,106.75145,Sichuan Msi,10,49
M. sinensis 'PMS-306',PMS-306,First boot,29.89176667,119.8417167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-314',PMS-314,First boot,26.52793333,119.6324333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-347',PMS-347,First boot,24.16798333,115.8838667,SE China Msi,10,63
M. sinensis 'PMS-359',PMS-359,First boot,22.91336667,112.3369667,SE China Msi,10,52.5
M. sinensis 'PMS-375',PMS-375,First boot,19.63043333,110.2908833,SE China Msi,10,70
M. sinensis 'PMS-382',PMS-382,First boot,18.90558333,109.5137833,SE China Msi,10,81
M. sinensis 'PMS-436',PMS-436,First boot,41.31701667,123.7384,"Korea, N China Msi",10,
M. sinensis 'PMS-438',PMS-438,First boot,41.32883333,123.6902667,"Korea, N China Msi",10,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First boot,36,138.12,C Japan Msi,10,
M. sinensis 'Teshio 3.3',UI11-00003.3,First boot,44.91666667,141.9833333,N Japan Msi,10,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First boot,40.21601,140.22625,N Japan Msi,10,
M. sinensis 'Uruma-1b',OKA-2010-002,First boot,26.340312,127.854968,SE China Msi,10,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First boot,,,C Japan Msi,10,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First boot,30.87438333,120.1449,,10,
M. ×giganteus 'Illinois',UI10-00107,First boot,,,,12.5,63.16666667
M. floridulus  'NG77-022',PI417947,First boot,-3.55,143.6333333,SE China Msi,12.5,88
M. floridulus 'US56-0022-03',PI230189,First boot,-20.91,165.33,SE China Msi,12.5,107.6666667
M. sacchariflorus 'Hortico',UI10-00008,First boot,,,NE China/Korea/Russia 2x Msa,12.5,37.33333333
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First boot,43.3931,141.43225,N Japan Msi,12.5,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First boot,43.44818333,142.64555,N Japan Msi,12.5,28
M. sinensis 'Flamingo',UI10-00041,First boot,,,C Japan Msi,12.5,
M. sinensis 'Gracillimus',UI10-00048,First boot,,,S Japan Msi,12.5,
M. sinensis 'Koike-11a',Koike-11a,First boot,38,138.36,C Japan Msi,12.5,
M. sinensis 'Koike-12b',Koike-12b,First boot,36.7,137.19,C Japan Msi,12.5,
M. sinensis 'Koike-21c',Koike-21c,First boot,32.16,130.39,S Japan Msi,12.5,49
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First boot,31.83,131.42,S Japan Msi,12.5,56
M. sinensis 'Nippon',UI10-00074,First boot,,,S Japan Msi,12.5,42
M. sinensis 'Onna-1',OKA-2010-001,First boot,26.44585,127.806144,SE China Msi,12.5,
M. sinensis 'PMS-130',PMS-130,First boot,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-159',PMS-159,First boot,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-161',PMS-161,First boot,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-164',PMS-164,First boot,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-204',PMS-204,First boot,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-226',PMS-226,First boot,26.62055,106.75145,Sichuan Msi,12.5,54
M. sinensis 'PMS-306',PMS-306,First boot,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,73.66666667
M. sinensis 'PMS-314',PMS-314,First boot,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-347',PMS-347,First boot,24.16798333,115.8838667,SE China Msi,12.5,65.33333333
M. sinensis 'PMS-359',PMS-359,First boot,22.91336667,112.3369667,SE China Msi,12.5,61
M. sinensis 'PMS-375',PMS-375,First boot,19.63043333,110.2908833,SE China Msi,12.5,132
M. sinensis 'PMS-382',PMS-382,First boot,18.90558333,109.5137833,SE China Msi,12.5,163.3333333
M. sinensis 'PMS-436',PMS-436,First boot,41.31701667,123.7384,"Korea, N China Msi",12.5,
M. sinensis 'PMS-438',PMS-438,First boot,41.32883333,123.6902667,"Korea, N China Msi",12.5,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First boot,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,First boot,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First boot,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,First boot,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First boot,,,C Japan Msi,12.5,109.6666667
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First boot,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,First boot,,,,15,120.6666667
M. floridulus  'NG77-022',PI417947,First boot,-3.55,143.6333333,SE China Msi,15,127.6666667
M. floridulus 'US56-0022-03',PI230189,First boot,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,First boot,,,NE China/Korea/Russia 2x Msa,15,68.33333333
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First boot,43.3931,141.43225,N Japan Msi,15,66.33333333
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First boot,43.44818333,142.64555,N Japan Msi,15,51
M. sinensis 'Flamingo',UI10-00041,First boot,,,C Japan Msi,15,89.33333333
M. sinensis 'Gracillimus',UI10-00048,First boot,,,S Japan Msi,15,167.3333333
M. sinensis 'Koike-11a',Koike-11a,First boot,38,138.36,C Japan Msi,15,107.6666667
M. sinensis 'Koike-12b',Koike-12b,First boot,36.7,137.19,C Japan Msi,15,98
M. sinensis 'Koike-21c',Koike-21c,First boot,32.16,130.39,S Japan Msi,15,136.3333333
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First boot,31.83,131.42,S Japan Msi,15,155
M. sinensis 'Nippon',UI10-00074,First boot,,,S Japan Msi,15,57.33333333
M. sinensis 'Onna-1',OKA-2010-001,First boot,26.44585,127.806144,SE China Msi,15,278.6666667
M. sinensis 'PMS-130',PMS-130,First boot,33.45548333,105.1373833,Yangtze-Qinling Msi,15,108.6666667
M. sinensis 'PMS-159',PMS-159,First boot,34.12948333,111.04395,Yangtze-Qinling Msi,15,82
M. sinensis 'PMS-161',PMS-161,First boot,35.72196667,112.3247667,Yangtze-Qinling Msi,15,120.3333333
M. sinensis 'PMS-164',PMS-164,First boot,37.34001667,114.2810333,Yangtze-Qinling Msi,15,123
M. sinensis 'PMS-204',PMS-204,First boot,31.70131667,114.8741167,Yangtze-Qinling Msi,15,130
M. sinensis 'PMS-226',PMS-226,First boot,26.62055,106.75145,Sichuan Msi,15,151
M. sinensis 'PMS-306',PMS-306,First boot,29.89176667,119.8417167,Yangtze-Qinling Msi,15,162.6666667
M. sinensis 'PMS-314',PMS-314,First boot,26.52793333,119.6324333,Yangtze-Qinling Msi,15,144
M. sinensis 'PMS-347',PMS-347,First boot,24.16798333,115.8838667,SE China Msi,15,239.6666667
M. sinensis 'PMS-359',PMS-359,First boot,22.91336667,112.3369667,SE China Msi,15,165
M. sinensis 'PMS-375',PMS-375,First boot,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,First boot,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,First boot,41.31701667,123.7384,"Korea, N China Msi",15,110
M. sinensis 'PMS-438',PMS-438,First boot,41.32883333,123.6902667,"Korea, N China Msi",15,57.66666667
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First boot,36,138.12,C Japan Msi,15,75
M. sinensis 'Teshio 3.3',UI11-00003.3,First boot,44.91666667,141.9833333,N Japan Msi,15,52.66666667
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First boot,40.21601,140.22625,N Japan Msi,15,79
M. sinensis 'Uruma-1b',OKA-2010-002,First boot,26.340312,127.854968,SE China Msi,15,351
M. sinensis var. condensatus 'Cabaret',UI10-00012,First boot,,,C Japan Msi,15,217.3333333
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First boot,30.87438333,120.1449,,15,184.6666667
M. ×giganteus 'Illinois',UI10-00107,First flag,,,,10,91
M. floridulus  'NG77-022',PI417947,First flag,-3.55,143.6333333,SE China Msi,10,
M. floridulus 'US56-0022-03',PI230189,First flag,-20.91,165.33,SE China Msi,10,
M. sacchariflorus 'Hortico',UI10-00008,First flag,,,NE China/Korea/Russia 2x Msa,10,39
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flag,43.3931,141.43225,N Japan Msi,10,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flag,43.44818333,142.64555,N Japan Msi,10,
M. sinensis 'Flamingo',UI10-00041,First flag,,,C Japan Msi,10,
M. sinensis 'Gracillimus',UI10-00048,First flag,,,S Japan Msi,10,
M. sinensis 'Koike-11a',Koike-11a,First flag,38,138.36,C Japan Msi,10,39
M. sinensis 'Koike-12b',Koike-12b,First flag,36.7,137.19,C Japan Msi,10,
M. sinensis 'Koike-21c',Koike-21c,First flag,32.16,130.39,S Japan Msi,10,39
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flag,31.83,131.42,S Japan Msi,10,39
M. sinensis 'Nippon',UI10-00074,First flag,,,S Japan Msi,10,38.66666667
M. sinensis 'Onna-1',OKA-2010-001,First flag,26.44585,127.806144,SE China Msi,10,
M. sinensis 'PMS-130',PMS-130,First flag,33.45548333,105.1373833,Yangtze-Qinling Msi,10,35
M. sinensis 'PMS-159',PMS-159,First flag,34.12948333,111.04395,Yangtze-Qinling Msi,10,77
M. sinensis 'PMS-161',PMS-161,First flag,35.72196667,112.3247667,Yangtze-Qinling Msi,10,98
M. sinensis 'PMS-164',PMS-164,First flag,37.34001667,114.2810333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-204',PMS-204,First flag,31.70131667,114.8741167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-226',PMS-226,First flag,26.62055,106.75145,Sichuan Msi,10,42
M. sinensis 'PMS-306',PMS-306,First flag,29.89176667,119.8417167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-314',PMS-314,First flag,26.52793333,119.6324333,Yangtze-Qinling Msi,10,57
M. sinensis 'PMS-347',PMS-347,First flag,24.16798333,115.8838667,SE China Msi,10,59.5
M. sinensis 'PMS-359',PMS-359,First flag,22.91336667,112.3369667,SE China Msi,10,42
M. sinensis 'PMS-375',PMS-375,First flag,19.63043333,110.2908833,SE China Msi,10,63
M. sinensis 'PMS-382',PMS-382,First flag,18.90558333,109.5137833,SE China Msi,10,81
M. sinensis 'PMS-436',PMS-436,First flag,41.31701667,123.7384,"Korea, N China Msi",10,
M. sinensis 'PMS-438',PMS-438,First flag,41.32883333,123.6902667,"Korea, N China Msi",10,35
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flag,36,138.12,C Japan Msi,10,
M. sinensis 'Teshio 3.3',UI11-00003.3,First flag,44.91666667,141.9833333,N Japan Msi,10,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flag,40.21601,140.22625,N Japan Msi,10,39
M. sinensis 'Uruma-1b',OKA-2010-002,First flag,26.340312,127.854968,SE China Msi,10,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flag,,,C Japan Msi,10,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flag,30.87438333,120.1449,,10,
M. ×giganteus 'Illinois',UI10-00107,First flag,,,,12.5,51
M. floridulus  'NG77-022',PI417947,First flag,-3.55,143.6333333,SE China Msi,12.5,77.5
M. floridulus 'US56-0022-03',PI230189,First flag,-20.91,165.33,SE China Msi,12.5,100.6666667
M. sacchariflorus 'Hortico',UI10-00008,First flag,,,NE China/Korea/Russia 2x Msa,12.5,32.66666667
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flag,43.3931,141.43225,N Japan Msi,12.5,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flag,43.44818333,142.64555,N Japan Msi,12.5,38.5
M. sinensis 'Flamingo',UI10-00041,First flag,,,C Japan Msi,12.5,72.33333333
M. sinensis 'Gracillimus',UI10-00048,First flag,,,S Japan Msi,12.5,
M. sinensis 'Koike-11a',Koike-11a,First flag,38,138.36,C Japan Msi,12.5,
M. sinensis 'Koike-12b',Koike-12b,First flag,36.7,137.19,C Japan Msi,12.5,
M. sinensis 'Koike-21c',Koike-21c,First flag,32.16,130.39,S Japan Msi,12.5,44.33333333
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flag,31.83,131.42,S Japan Msi,12.5,44.33333333
M. sinensis 'Nippon',UI10-00074,First flag,,,S Japan Msi,12.5,42
M. sinensis 'Onna-1',OKA-2010-001,First flag,26.44585,127.806144,SE China Msi,12.5,
M. sinensis 'PMS-130',PMS-130,First flag,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,42
M. sinensis 'PMS-159',PMS-159,First flag,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,42
M. sinensis 'PMS-161',PMS-161,First flag,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-164',PMS-164,First flag,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-204',PMS-204,First flag,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-226',PMS-226,First flag,26.62055,106.75145,Sichuan Msi,12.5,46.66666667
M. sinensis 'PMS-306',PMS-306,First flag,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,65.66666667
M. sinensis 'PMS-314',PMS-314,First flag,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-347',PMS-347,First flag,24.16798333,115.8838667,SE China Msi,12.5,62
M. sinensis 'PMS-359',PMS-359,First flag,22.91336667,112.3369667,SE China Msi,12.5,55.33333333
M. sinensis 'PMS-375',PMS-375,First flag,19.63043333,110.2908833,SE China Msi,12.5,96.33333333
M. sinensis 'PMS-382',PMS-382,First flag,18.90558333,109.5137833,SE China Msi,12.5,135.6666667
M. sinensis 'PMS-436',PMS-436,First flag,41.31701667,123.7384,"Korea, N China Msi",12.5,
M. sinensis 'PMS-438',PMS-438,First flag,41.32883333,123.6902667,"Korea, N China Msi",12.5,53
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flag,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,First flag,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flag,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,First flag,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flag,,,C Japan Msi,12.5,102.6666667
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flag,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,First flag,,,,15,111
M. floridulus  'NG77-022',PI417947,First flag,-3.55,143.6333333,SE China Msi,15,125
M. floridulus 'US56-0022-03',PI230189,First flag,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,First flag,,,NE China/Korea/Russia 2x Msa,15,57
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flag,43.3931,141.43225,N Japan Msi,15,58
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flag,43.44818333,142.64555,N Japan Msi,15,44
M. sinensis 'Flamingo',UI10-00041,First flag,,,C Japan Msi,15,58
M. sinensis 'Gracillimus',UI10-00048,First flag,,,S Japan Msi,15,179
M. sinensis 'Koike-11a',Koike-11a,First flag,38,138.36,C Japan Msi,15,87
M. sinensis 'Koike-12b',Koike-12b,First flag,36.7,137.19,C Japan Msi,15,93
M. sinensis 'Koike-21c',Koike-21c,First flag,32.16,130.39,S Japan Msi,15,108.3333333
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flag,31.83,131.42,S Japan Msi,15,131.6666667
M. sinensis 'Nippon',UI10-00074,First flag,,,S Japan Msi,15,42.33333333
M. sinensis 'Onna-1',OKA-2010-001,First flag,26.44585,127.806144,SE China Msi,15,272.6666667
M. sinensis 'PMS-130',PMS-130,First flag,33.45548333,105.1373833,Yangtze-Qinling Msi,15,59.66666667
M. sinensis 'PMS-159',PMS-159,First flag,34.12948333,111.04395,Yangtze-Qinling Msi,15,58.33333333
M. sinensis 'PMS-161',PMS-161,First flag,35.72196667,112.3247667,Yangtze-Qinling Msi,15,74
M. sinensis 'PMS-164',PMS-164,First flag,37.34001667,114.2810333,Yangtze-Qinling Msi,15,95
M. sinensis 'PMS-204',PMS-204,First flag,31.70131667,114.8741167,Yangtze-Qinling Msi,15,112
M. sinensis 'PMS-226',PMS-226,First flag,26.62055,106.75145,Sichuan Msi,15,88
M. sinensis 'PMS-306',PMS-306,First flag,29.89176667,119.8417167,Yangtze-Qinling Msi,15,127
M. sinensis 'PMS-314',PMS-314,First flag,26.52793333,119.6324333,Yangtze-Qinling Msi,15,125.6666667
M. sinensis 'PMS-347',PMS-347,First flag,24.16798333,115.8838667,SE China Msi,15,225.6666667
M. sinensis 'PMS-359',PMS-359,First flag,22.91336667,112.3369667,SE China Msi,15,180
M. sinensis 'PMS-375',PMS-375,First flag,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,First flag,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,First flag,41.31701667,123.7384,"Korea, N China Msi",15,75
M. sinensis 'PMS-438',PMS-438,First flag,41.32883333,123.6902667,"Korea, N China Msi",15,42
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flag,36,138.12,C Japan Msi,15,56
M. sinensis 'Teshio 3.3',UI11-00003.3,First flag,44.91666667,141.9833333,N Japan Msi,15,44
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flag,40.21601,140.22625,N Japan Msi,15,72
M. sinensis 'Uruma-1b',OKA-2010-002,First flag,26.340312,127.854968,SE China Msi,15,336
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flag,,,C Japan Msi,15,187.6666667
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flag,30.87438333,120.1449,,15,169.6666667
M. ×giganteus 'Illinois',UI10-00107,First flower,,,,10,98
M. floridulus  'NG77-022',PI417947,First flower,-3.55,143.6333333,SE China Msi,10,
M. floridulus 'US56-0022-03',PI230189,First flower,-20.91,165.33,SE China Msi,10,
M. sacchariflorus 'Hortico',UI10-00008,First flower,,,NE China/Korea/Russia 2x Msa,10,
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flower,43.3931,141.43225,N Japan Msi,10,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flower,43.44818333,142.64555,N Japan Msi,10,
M. sinensis 'Flamingo',UI10-00041,First flower,,,C Japan Msi,10,
M. sinensis 'Gracillimus',UI10-00048,First flower,,,S Japan Msi,10,
M. sinensis 'Koike-11a',Koike-11a,First flower,38,138.36,C Japan Msi,10,
M. sinensis 'Koike-12b',Koike-12b,First flower,36.7,137.19,C Japan Msi,10,
M. sinensis 'Koike-21c',Koike-21c,First flower,32.16,130.39,S Japan Msi,10,49
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flower,31.83,131.42,S Japan Msi,10,44
M. sinensis 'Nippon',UI10-00074,First flower,,,S Japan Msi,10,26
M. sinensis 'Onna-1',OKA-2010-001,First flower,26.44585,127.806144,SE China Msi,10,
M. sinensis 'PMS-130',PMS-130,First flower,33.45548333,105.1373833,Yangtze-Qinling Msi,10,42
M. sinensis 'PMS-159',PMS-159,First flower,34.12948333,111.04395,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-161',PMS-161,First flower,35.72196667,112.3247667,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-164',PMS-164,First flower,37.34001667,114.2810333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-204',PMS-204,First flower,31.70131667,114.8741167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-226',PMS-226,First flower,26.62055,106.75145,Sichuan Msi,10,56
M. sinensis 'PMS-306',PMS-306,First flower,29.89176667,119.8417167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-314',PMS-314,First flower,26.52793333,119.6324333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-347',PMS-347,First flower,24.16798333,115.8838667,SE China Msi,10,81
M. sinensis 'PMS-359',PMS-359,First flower,22.91336667,112.3369667,SE China Msi,10,63
M. sinensis 'PMS-375',PMS-375,First flower,19.63043333,110.2908833,SE China Msi,10,91
M. sinensis 'PMS-382',PMS-382,First flower,18.90558333,109.5137833,SE China Msi,10,91
M. sinensis 'PMS-436',PMS-436,First flower,41.31701667,123.7384,"Korea, N China Msi",10,
M. sinensis 'PMS-438',PMS-438,First flower,41.32883333,123.6902667,"Korea, N China Msi",10,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flower,36,138.12,C Japan Msi,10,
M. sinensis 'Teshio 3.3',UI11-00003.3,First flower,44.91666667,141.9833333,N Japan Msi,10,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flower,40.21601,140.22625,N Japan Msi,10,
M. sinensis 'Uruma-1b',OKA-2010-002,First flower,26.340312,127.854968,SE China Msi,10,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flower,,,C Japan Msi,10,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flower,30.87438333,120.1449,,10,
M. ×giganteus 'Illinois',UI10-00107,First flower,,,,12.5,70.66666667
